"pinyinabb" "chinese" "pinyin" "chinese2" "shp" "dbname" "host" "port" "user" "password"
"diqing" "迪庆" "Diqing" "迪庆藏族自治州" "D锚q锚n Tibetan" "cityre_diqing" NA NA NA NA
"dl" "大连" "Dalian" "大连市" "Dalian" "cityre_dalian" NA NA NA NA
"dq" "大庆" "Daqing" "大庆市" "Daqing" "cityre_daqing" NA NA NA NA
"dt" "大同" "Datong" "大同市" "Datong" "cityre_datong" NA NA NA NA
"dx" "定西" "Dingxi" "定西市" "Dingxi" "cityre_dingxi" NA NA NA NA
"dxal" "大兴安岭" "Daxinganling" "大兴安岭地区" "Daxing'anling" "cityre_daxinganling" NA NA NA NA
"dy" "东营" "Dongying" "东营市" "Dongying" "cityre_dongying" NA NA NA NA
"dz" "德州" "Dezhou" "德州市" "Dezhou" "cityre_dezhou" NA NA NA NA
"eds" "鄂尔多斯" "Eerduosi" "鄂尔多斯市" "Ordos" "cityre_eerduosi" NA NA NA NA
"es" "恩施" "Enshi" "恩施土家族苗族自治州" "Enshi Tujia and Miao" "cityre_enshi" NA NA NA NA
"ez" "鄂州" "Ezhou" "鄂州市" "Ezhou" "cityre_ezhou" NA NA NA NA
"fcg" "防城港" "Fangchenggang" "防城港市" "Fangchenggang" "cityre_fangchenggang" NA NA NA NA
"fs" "佛山" "Foshan" "佛山市" "Foshan" "cityre_foshan" NA NA NA NA
"fushun" "抚顺" "Fushun" "抚顺市" "Fushun" "cityre_fushun" NA NA NA NA
"fuzhou" "抚州" "Fuzhou" "抚州市" "Fuzhou" "cityre_fuzhoujx" NA NA NA NA
"fx" "阜新" "Fuxin" "阜新市" "Fuxin" "cityre_fuxin" NA NA NA NA
"fy" "阜阳" "Fuyang" "阜阳市" "Fuyang" "cityre_fuyang" NA NA NA NA
"fz" "福州" "Fuzhou" "福州市" "Fuzhou" "cityre_fuzhou" NA NA NA NA
"ga" "广安" "Guangan" "广安市" "Guang'an" "cityre_guangan" NA NA NA NA
"ganzhou" "赣州" "Ganzhou" "赣州市" "Ganzhou" "cityre_ganzhou" NA NA NA NA
"ganzi" "甘孜" "Ganzi" "甘孜藏族自治州" "Garz锚 Tibetan" "cityre_ganzi" NA NA NA NA
"gg" "贵港" "Guigang" "贵港市" "Guigang" "cityre_guigang" NA NA NA NA
"gl" "桂林" "Guilin" "桂林市" "Guilin" "cityre_guilin" NA NA NA NA
"gn" "甘南" "Gannan" "甘南藏族自治州" "Gannan Tibetan" "cityre_gannan" NA NA NA NA
"guangyuan" "广元" "Guangyuan" "广元市" "Guangyuan" "cityre_guangyuan" NA NA NA NA
"guoluo" "果洛" "Guoluo" "果洛藏族自治州" "Golog Tibetan" "cityre_guoluo" NA NA NA NA
"guyuan" "固原" "Guyuan" "固原市" "Guyuan" "cityre_guyuan" NA NA NA NA
"gy" "贵阳" "Guiyang" "贵阳市" "Guiyang" "cityre_guiyang" NA NA NA NA
"gz" "广州" "Guangzhou" "广州市" "Guangzhou" "cityre_guangzhou" NA NA NA NA
"ha" "淮安" "Huaian" "淮安市" "Huai'an" "cityre_huaian" NA NA NA NA
"haibei" "海北" "Haibei" "海北藏族自治州" "Haibei Tibetan" "cityre_haibei" NA NA NA NA
"haidong" "海东" "Haidong" "海东地区" "Haidong" "cityre_haidong" NA NA NA NA
"hanzhong" "汉中" "Hanzhong" "汉中市" "Hanzhong" "cityre_hanzhong" NA NA NA NA
"hb" "哈尔滨" "Haerbin" "哈尔滨市" "Harbin" "cityre_harbin" NA NA NA NA
"hc" "河池" "Hechi" "河池市" "Hechi" "cityre_hechi" NA NA NA NA
"hd" "邯郸" "Handan" "邯郸市" "Handan" "cityre_handan" NA NA NA NA
"hebi" "鹤壁" "Hebi" "鹤壁市" "Hebi" "cityre_hebi" NA NA NA NA
"hegang" "鹤岗" "Hegang" "鹤岗市" "Hegang" "cityre_hegang" NA NA NA NA
"heihe" "黑河" "Heihe" "黑河市" "Heihe" "cityre_heihe" NA NA NA NA
"hengshui" "衡水" "Hengshui" "衡水市" "Hengshui" "cityre_hengshui" NA NA NA NA
"heyuan" "河源" "Heyuan" "河源市" "Heyuan" "cityre_heyuan" NA NA NA NA
"heze" "菏泽" "Heze" "菏泽市" "Heze" "cityre_heze" NA NA NA NA
"hezhou" "贺州" "Hezhou" "贺州市" "Hezhou" "cityre_hezhou" NA NA NA NA
"hf" "合肥" "Hefei" "合肥市" "Hefei" "cityre_hefei" NA NA NA NA
"hg" "黄冈" "Huanggang" "黄冈市" "Huanggang" "cityre_huanggang" NA NA NA NA
"hh" "呼和浩特" "Huhehaote" "呼和浩特市" "Hohhot" "cityre_huhehaote" NA NA NA NA
"hk" "海口" "Haikou" "海口市" "Haikou" "cityre_haikou" NA NA NA NA
"hlbe" "呼伦贝尔" "Hulunbeier" "呼伦贝尔市" "Hulunbuir" "cityre_hulunbeier" NA NA NA NA
"hld" "葫芦岛" "Huludao" "葫芦岛市" "Huludao" "cityre_huludao" NA NA NA NA
"hm" "哈密" "Hami" "哈密地区" "Hami" "cityre_hami" NA NA NA NA
"hn" "淮南" "Huainan" "淮南市" "Huainan" "cityre_huainan" NA NA NA NA
"hnz" "海南州" "Hainanzhou" "海南藏族自治州" "Hainan Tibetan" "cityre_hainanzhou" NA NA NA NA
"honghe" "红河" "Honghe" "红河哈尼族彝族自治州" "Honghe Hani and Yi" "cityre_honghe" NA NA NA NA
"hs" "黄石" "Huangshi" "黄石市" "Huangshi" "cityre_huangshi" NA NA NA NA
"ht" "和田" "Hetian" "和田地区" "Khotan" "cityre_hetian" NA NA NA NA
"huaibei" "淮北" "Huaibei" "淮北市" "Huaibei" "cityre_huaibei" NA NA NA NA
"huaihua" "怀化" "Huaihua" "怀化市|懷化市" "Huaihua" "cityre_huaihua" NA NA NA NA
"huangnan" "黄南" "Huangnan" "黄南藏族自治州" "Huangnan Tibetan" "cityre_huangnan" NA NA NA NA
"huangshan" "黄山" "Huangshan" "黄山市" "Huangshan" "cityre_huangshan" NA NA NA NA
"huizhou" "惠州" "Huizhou" "惠州市" "Huizhou" "cityre_huizhou" NA NA NA NA
"huzhou" "湖州" "Huzhou" "湖州市" "Huzhou" "cityre_huzhou" NA NA NA NA
"hx" "海西" "Haixi" "海西蒙古族藏族自治州" "Haixi Mongol and Tibetan" "cityre_haixi" NA NA NA NA
"hy" "衡阳" "Hengyang" "衡阳市|衡陽市" "Hengyang" "cityre_hengyang" NA NA NA NA
"hz" "杭州" "Hangzhou" "杭州市" "Hangzhou" "cityre_hangzhou" NA NA NA NA
"ja" "吉安" "Jian" "吉安市" "Ji'an" "cityre_jian" NA NA NA NA
"jc" "晋城" "Jincheng" "晋城市" "Jincheng" "cityre_jincheng" NA NA NA NA
"jdz" "景德镇" "Jingdezhen" "景德镇市" "Jingdezhen" "cityre_jingdezhen" NA NA NA NA
"jh" "金华" "Jinhua" "金华市" "Jinhua" "cityre_jinhua" NA NA NA NA
"jiaozuo" "焦作" "Jiaozuo" "焦作市" "Jiaozuo" "cityre_jiaozuo" NA NA NA NA
"jinchang" "金昌" "Jinchang" "金昌市" "Jinchang" "cityre_jinchang" NA NA NA NA
"jingmen" "荆门" "Jingmen" "荆门市" "Jingmen" "cityre_jingmen" NA NA NA NA
"jingzhou" "荆州" "Jingzhou" "荆州市" "Jingzhou" "cityre_jingzhou" NA NA NA NA
"jining" "济宁" "Jining" "济宁市" "Jining" "cityre_jining" NA NA NA NA
"jinzhong" "晋中" "Jinzhong" "晋中市" "Jinzhong" "cityre_jinzhong" NA NA NA NA
"jixi" "鸡西" "Jixi" "鸡西市" "Jixi" "cityre_jixi" NA NA NA NA
"jiyuan" "济源" "Jiyuan" "济源市" "Jiyuan shi" "cityre_jiyuan" NA NA NA NA
"jj" "九江" "Jiujiang" "九江市" "Jiujiang" "cityre_jiujiang" NA NA NA NA
"jl" "吉林" "Jilin" "吉林市" "Jilin" "cityre_jilin" NA NA NA NA
"jm" "江门" "Jiangmen" "江门市" "Jiangmen" "cityre_jiangmen" NA NA NA NA
"jms" "佳木斯" "Jiamusi" "佳木斯市" "Jiamusi" "cityre_jiamusi" NA NA NA NA
"jn" "济南" "Jinan" "济南市" "Jinan" "cityre_jinan" NA NA NA NA
"jq" "酒泉" "Jiuquan" "酒泉市" "Jiuquan" "cityre_jiuquan" NA NA NA NA
"jx" "嘉兴" "Jiaxing" "嘉兴市" "Jiaxing" "cityre_jiaxing" NA NA NA NA
"jy" "揭阳" "Jieyang" "揭阳市" "Jieyang" "cityre_jieyang" NA NA NA NA
"jyg" "嘉峪关" "Jiayuguan" "嘉峪关市" "Jiayuguan" "cityre_jiayuguan" NA NA NA NA
"jz" "锦州" "Jinzhou" "锦州市" "Jinzhou" "cityre_jinzhou" NA NA NA NA
"kf" "开封" "Kaifeng" "开封市" "Kaifeng" "cityre_kaifeng" NA NA NA NA
"kkdl" "可克达拉" "Kekedala" NA NA "cityre_kekedala" NA NA NA NA
"klmy" "克拉玛依" "Kelamayi" "克拉玛依市" "Karamay" "cityre_kelamayi" NA NA NA NA
"km" "昆明" "Kunming" "昆明市" "Kunming" "cityre_kunming" NA NA NA NA
"ks" "喀什" "Kashi" "喀什地区" "Kashgar" "cityre_kashi" NA NA NA NA
"ky" "昆玉" "Kunyu" NA NA "cityre_kunyu" NA NA NA NA
"kz" "克州" "Kezhou" "克孜勒苏柯尔克孜自治州" "Kizilsu Kirghiz" "cityre_kezhou" NA NA NA NA
"la" "六安" "Liuan" "六安市" "Lu'an" "cityre_liuan" NA NA NA NA
"lasa" "拉萨" "Lasa" "拉萨市" "Lhasa" "cityre_lasa" NA NA NA NA
"lb" "来宾" "Laibin" "来宾市" "Laibin" "cityre_laibin" NA NA NA NA
"lc" "聊城" "Liaocheng" "聊城市" "Liaocheng" "cityre_liaocheng" NA NA NA NA
"ld" "娄底" "Loudi" "娄底市|婁底市" "Loudi" "cityre_loudi" NA NA NA NA
"ledong" "乐东" "Ledong" NA NA "cityre_ledong" NA NA NA NA
"leshan" "乐山" "Leshan" "乐山市" "Leshan" "cityre_leshan" NA NA NA NA
"lf" "廊坊" "Langfang" "廊坊市" "Langfang" "cityre_langfang" NA NA NA NA
"lg" "临高" "Lingao" NA NA "cityre_lingao" NA NA NA NA
"lh" "漯河" "Luohe" "漯河市" "Luohe" "cityre_luohe" NA NA NA NA
"liangshan" "凉山" "Liangshan" "凉山彝族自治州" "Liangshan Yi" "cityre_liangshan" NA NA NA NA
"liaoyang" "辽阳" "Liaoyang" "辽阳市" "Liaoyang" "cityre_liaoyang" NA NA NA NA
"liaoyuan" "辽源" "Liaoyuan" "辽源市" "Liaoyuan" "cityre_liaoyuan" NA NA NA NA
"lincang" "临沧" "Lincang" "临沧市" "Lincang" "cityre_lincang" NA NA NA NA
"linfen" "临汾" "Linfen" "临汾市" "Linfen" "cityre_linfen" NA NA NA NA
"lingshui" "陵水" "Lingshui" NA NA "cityre_lingshui" NA NA NA NA
"linyi" "临沂" "Linyi" "临沂市" "Linyi" "cityre_linyi" NA NA NA NA
"linzhi" "林芝" "Linzhi" "林芝地区" "Nyingtri" "cityre_linzhi" NA NA NA NA
"liuzhou" "柳州" "Liuzhou" "柳州市" "Liuzhou" "cityre_liuzhou" NA NA NA NA
"lj" "丽江" "Lijiang" "丽江市" "Lijiang" "cityre_lijiang" NA NA NA NA
"ll" "吕梁" "Lvliang" "吕梁市" "Luliang" "cityre_lvliang" NA NA NA NA
"ln" "陇南" "Longnan" "陇南市" "Longnan" "cityre_longnan" NA NA NA NA
"longyan" "龙岩" "Longyan" "龙岩市" "Longyan" "cityre_longyan" NA NA NA NA
"lps" "六盘水" "Liupanshui" "六盘水市" "Liupanshui" "cityre_liupanshui" NA NA NA NA
"ls" "丽水" "Lishui" "丽水市" "Lishui" "cityre_lishui" NA NA NA NA
"luzhou" "泸州" "Luzhou" "泸州市" "Luzhou" "cityre_luzhou" NA NA NA NA
"lw" "莱芜" "Laiwu" "莱芜市" "Laiwu" "cityre_laiwu" NA NA NA NA
"lx" "临夏" "Linxia" "临夏回族自治州" "Linxia Hui" "cityre_linxia" NA NA NA NA
"ly" "洛阳" "Luoyang" "洛阳市" "Luoyang" "cityre_luoyang" NA NA NA NA
"lyg" "连云港" "Lianyungang" "连云港市" "Lianyungang" "cityre_lianyungang" NA NA NA NA
"lz" "兰州" "Lanzhou" "兰州市" "Lanzhou" "cityre_lanzhou" NA NA NA NA
"mas" "马鞍山" "Maanshan" "马鞍山市" "Ma'anshan" "cityre_maanshan" NA NA NA NA
"mdj" "牡丹江" "Mudanjiang" "牡丹江市" "Mudanjiang" "cityre_mudanjiang" NA NA NA NA
"mm" "茂名" "Maoming" "茂名市" "Maoming" "cityre_maoming" NA NA NA NA
"ms" "眉山" "Meishan" "眉山市" "Meishan" "cityre_meishan" NA NA NA NA
"my" "绵阳" "Mianyang" "绵阳市" "Mianyang" "cityre_mianyang" NA NA NA NA
"mz" "梅州" "Meizhou" "梅州市" "Meizhou" "cityre_meizhou" NA NA NA NA
"nanchong" "南充" "Nanchong" "南充市" "Nanchong" "cityre_nanchong" NA NA NA NA
"nb" "宁波" "Ningbo" "宁波市" "Ningbo" "cityre_ningbo" NA NA NA NA
"nc" "南昌" "Nanchang" "南昌市" "Nanchang" "cityre_nanchang" NA NA NA NA
"nd" "宁德" "Ningde" "宁德市" "Ningde" "cityre_ningde" NA NA NA NA
"neijiang" "内江" "Neijiang" "内江市" "Neijiang]]" "cityre_neijiang" NA NA NA NA
"nj" "南京" "Nanjing" "南京市" "Nanjing" "cityre_nanjing" NA NA NA NA
"nn" "南宁" "Nanning" "南宁市" "Nanning" "cityre_nanning" NA NA NA NA
"np" "南平" "Nanping" "南平市" "Nanping" "cityre_nanping" NA NA NA NA
"nq" "那曲" "Naqu" "那曲地区" "Nagchu" "cityre_naqu" NA NA NA NA
"nt" "南通" "Nantong" "南通市" "Nantong" "cityre_nantong" NA NA NA NA
"nujiang" "怒江" "Nujiang" "怒江傈僳族自治州" "Nujiang Lisu" "cityre_nujiang" NA NA NA NA
"ny" "南阳" "Nanyang" "南阳市" "Nanyang" "cityre_nanyang" NA NA NA NA
"pds" "平顶山" "Pingdingshan" "平顶山市" "Pingdingshan" "cityre_pingdingshan" NA NA NA NA
"pe" "普洱" "Puer" "普洱市" "Pu'er" "cityre_puer" NA NA NA NA
"pj" "盘锦" "Panjin" "盘锦市" "Panjin" "cityre_panjin" NA NA NA NA
"pl" "平凉" "Pingliang" "平凉市" "Pingliang" "cityre_pingliang" NA NA NA NA
"pt" "莆田" "Putian" "莆田市" "Putian" "cityre_putian" NA NA NA NA
"px" "萍乡" "Pingxiang" "萍乡市" "Pingxiang" "cityre_pingxiang" NA NA NA NA
"py" "濮阳" "Puyang" "濮阳市" "Puyang" "cityre_puyang" NA NA NA NA
"pzh" "攀枝花" "Panzhihua" "攀枝花市" "Panzhihua" "cityre_panzhihua" NA NA NA NA
"qd" "青岛" "Qingdao" "青岛市" "Qingdao" "cityre_qingdao" NA NA NA NA
"qdn" "黔东南" "Qiandongnan" "黔东南苗族侗族自治州" "Qiandongnan Miao and Dong" "cityre_qiandongnan" NA NA NA NA
"qh" "琼海" "Qionghai" NA NA "cityre_qionghai" NA NA NA NA
"qhd" "秦皇岛" "Qinhuangdao" "秦皇岛市" "Qinhuangdao" "cityre_qinhuangdao" NA NA NA NA
"qianjiang" "潜江" "Qianjiang" "潜江市" "Qianjiang" "cityre_qianjiang" NA NA NA NA
"qingyang" "庆阳" "Qingyang" "庆阳市" "Qingyang" "cityre_qingyang" NA NA NA NA
"qinzhou" "钦州" "Qinzhou" "钦州市" "Qinzhou" "cityre_qinzhou" NA NA NA NA
"qiongzhong" "琼中" "Qiongzhong" NA NA "cityre_qiongzhong" NA NA NA NA
"qj" "曲靖" "Qujing" "曲靖市" "Qujing" "cityre_qujing" NA NA NA NA
"qn" "黔南" "Qiannan" "黔南布依族苗族自治州" "Qiannan Buyei and Miao" "cityre_qiannan" NA NA NA NA
"qq" "齐齐哈尔" "Qiqihaer" "齐齐哈尔市" "Qiqihar" "cityre_qiqihaer" NA NA NA NA
"qth" "七台河" "Qitaihe" "七台河市" "Qitaihe" "cityre_qitaihe" NA NA NA NA
"quzhou" "衢州" "Quzhou" "衢州市" "Quzhou" "cityre_quzhou" NA NA NA NA
"qxn" "黔西南" "Qianxinan" "黔西南布依族苗族自治州" "Qianxinan Buyei and Miao" "cityre_qianxinan" NA NA NA NA
"qy" "清远" "Qingyuan" "清远市" "Qingyuan" "cityre_qingyuan" NA NA NA NA
"qz" "泉州" "Quanzhou" "泉州市" "Quanzhou" "cityre_quanzhou" NA NA NA NA
"rkz" "日喀则" "Rikaze" "日喀则地区" "Shigatse" "cityre_rikaze" NA NA NA NA
"rz" "日照" "Rizhao" "日照市" "Rizhao" "cityre_rizhao" NA NA NA NA
"sanya" "三亚" "Sanya" "三亚市" "Sanya" "cityre_sanya" NA NA NA NA
"sg" "韶关" "Shaoguan" "韶关市" "Shaoguan" "cityre_shaoguan" NA NA NA NA
"sh" "上海" "Shanghai" "上海|上海" "Shanghai" "cityre_shanghai" NA NA NA NA
"shangqiu" "商丘" "Shangqiu" "商丘市" "Shangqiu" "cityre_shangqiu" NA NA NA NA
"shannan" "山南" "Shannan" "山南地区" "Shannan" "cityre_shannan" NA NA NA NA
"shaoyang" "邵阳" "Shaoyang" "邵阳市|邵陽市" "Shaoyang" "cityre_shaoyang" NA NA NA NA
"shiyan" "十堰" "Shiyan" "十堰市" "Shiyan" "cityre_shiyan" NA NA NA NA
"shuanghe" "双河" "Shuanghe" NA NA "cityre_shuanghe" NA NA NA NA
"shuozhou" "朔州" "Shuozhou" "朔州市" "Shuozhou" "cityre_shuozhou" NA NA NA NA
"shz" "石河子" "Shihezi" "石河子市" "Shihezi" "cityre_shihezi" NA NA NA NA
"sj" "石家庄" "Shijiazhuang" "石家庄市" "Shijiazhuang" "cityre_shijiazhuang" NA NA NA NA
"sl" "商洛" "Shangluo" "商洛市" "Shangluo" "cityre_shangluo" NA NA NA NA
"sm" "三明" "Sanming" "三明市" "Sanming" "cityre_sanming" NA NA NA NA
"smx" "三门峡" "Sanmenxia" "三门峡市" "Sanmenxia" "cityre_sanmenxia" NA NA NA NA
"sn" "遂宁" "Suining" "遂宁市" "Suining" "cityre_suining" NA NA NA NA
"snj" "神农架" "Shennongjia" "神农架林区" "Shennongjia" "cityre_shennongjia" NA NA NA NA
"songyuan" "松原" "Songyuan" "松原市" "Songyuan" "cityre_songyuan" NA NA NA NA
"sp" "四平" "Siping" "四平市" "Siping" "cityre_siping" NA NA NA NA
"sq" "宿迁" "Suqian" "宿迁市" "Suqian" "cityre_suqian" NA NA NA NA
"sr" "上饶" "Shangrao" "上饶市" "Shangrao" "cityre_shangrao" NA NA NA NA
"ss" "三沙" "Sansha" NA NA "cityre_sansha" NA NA NA NA
"st" "汕头" "Shantou" "汕头市" "Shantou" "cityre_shantou" NA NA NA NA
"su" "苏州" "Suzhou" "苏州市" "Suzhou" "cityre_suzhou" NA NA NA NA
"suihua" "绥化" "Suihua" "绥化市" "Suihua" "cityre_suihua" NA NA NA NA
"suizhou" "随州" "Suizhou" "随州市" "Suizhou Shi" "cityre_suizhou" NA NA NA NA
"suzhouah" "宿州" "Suzhou" "宿州市" "Suzhou" "cityre_suzhouah" NA NA NA NA
"sw" "汕尾" "Shanwei" "汕尾市" "Shanwei" "cityre_shanwei" NA NA NA NA
"sx" "绍兴" "Shaoxing" "绍兴市" "Shaoxing" "cityre_shaoxing" NA NA NA NA
"sy" "沈阳" "Shenyang" "沈阳市" "Shenyang" "cityre_shenyang" NA NA NA NA
"sys" "双鸭山" "Shuangyashan" "双鸭山市" "Shuangyashan" "cityre_shuangyashan" NA NA NA NA
"sz" "深圳" "Shenzhen" "深圳市" "Shenzhen" "cityre_shenzhen" NA NA NA NA
"szs" "石嘴山" "Shizuishan" "石嘴山市" "Shizuishan" "cityre_shizuishan" NA NA NA NA
"tacheng" "塔城" "Tacheng" "塔城地区" "Tacheng" "cityre_tacheng" NA NA NA NA
"taian" "泰安" "Taian" "泰安市" "Tai'an" "cityre_taian" NA NA NA NA
"taizhoujs" "泰州" "Taizhou" "泰州市" "Taizhou" "cityre_taizhoujs" NA NA NA NA
"tc" "铜川" "Tongchuan" "铜川市" "Tongchuan" "cityre_tongchuan" NA NA NA NA
"th" "通化" "Tonghua" "通化市" "Tonghua" "cityre_tonghua" NA NA NA NA
"tianshui" "天水" "Tianshui" "天水市" "Tianshui" "cityre_tianshui" NA NA NA NA
"tieling" "铁岭" "Tieling" "铁岭市" "Tieling" "cityre_tieling" NA NA NA NA
"tj" "天津" "Tianjin" "天津|天津" "Tianjin" "cityre_tianjin" NA NA NA NA
"tl" "通辽" "Tongliao" "通辽市" "Tongliao" "cityre_tongliao" NA NA NA NA
"tlf" "吐鲁番" "Tulufan" "吐鲁番地区" "Turfan" "cityre_tulufan" NA NA NA NA
"tm" "天门" "Tianmen" "天门市" "Tianmen" "cityre_tianmen" NA NA NA NA
"tmg" "铁门关" "Tiemenguan" NA NA "cityre_tiemenguan" NA NA NA NA
"tmsk" "图木舒克" "Tumushuke" NA NA "cityre_tumushuke" NA NA NA NA
"tongling" "铜陵" "Tongling" "铜陵市" "Tongling" "cityre_tongling" NA NA NA NA
"tr" "铜仁" "Tongren" "铜仁地区" "Tongren" "cityre_tongren" NA NA NA NA
"ts" "唐山" "Tangshan" "唐山市" "Tangshan" "cityre_tangshan" NA NA NA NA
"tunchang" "屯昌" "Tunchang" NA NA "cityre_tunchang" NA NA NA NA
